date;% Iron Feed;% Silica Feed;Starch Flow;Amina Flow;Ore Pulp Flow;Ore Pulp pH;Ore Pulp Density;Flotation Column 01 Air Flow;Flotation Column 02 Air Flow;Flotation Column 03 Air Flow;Flotation Column 04 Air Flow;Flotation Column 05 Air Flow;Flotation Column 06 Air Flow;Flotation Column 07 Air Flow;Flotation Column 01 Level;Flotation Column 02 Level;Flotation Column 03 Level;Flotation Column 04 Level;Flotation Column 05 Level;Flotation Column 06 Level;Flotation Column 07 Level;% Iron Concentrate;% Silica Concentrate
3/10/17 1.00;55,2;16,98;3019,53;557,434;395,713;10,0664;1,74;249,214;253,235;250,576;295,096;306,4;250,225;250,884;457,396;432,962;424,954;443,558;502,255;446,37;523,344;66,91;1,31
3/10/17 1.00;55,2;16,98;3024,41;563,965;397,383;10,0672;1,74;249,719;250,532;250,862;295,096;306,4;250,137;248,994;451,891;429,56;432,939;448,086;496,363;445,922;498,075;66,91;1,31
3/10/17 1.00;55,2;16,98;3043,46;568,054;399,668;10,068;1,74;249,741;247,874;250,313;295,096;306,4;251,345;248,071;451,24;468,927;434,61;449,688;484,411;447,826;458,567;66,91;1,31
3/10/17 1.00;55,2;16,98;3047,36;568,665;397,939;10,0689;1,74;249,917;254,487;250,049;295,096;306,4;250,422;251,147;452,441;458,165;442,865;446,21;471,411;437,69;427,669;66,91;1,31
3/10/17 1.00;55,2;16,98;3033,69;558,167;400,254;10,0697;1,74;250,203;252,136;249,895;295,096;306,4;249,983;248,928;452,441;452,9;450,523;453,67;462,598;443,682;425,679;66,91;1,31
3/10/17 1.00;55,2;16,98;3079,1;564,697;396,533;10,0705;1,74;250,73;248,906;249,521;295,096;306,4;250,356;251,873;444,384;443,269;460,449;439,92;451,588;433,539;425,458;66,91;1,31
3/10/17 1.00;55,2;16,98;3127,79;566,467;392,9;10,0713;1,74;250,313;252,202;249,082;295,096;306,4;250,95;253,477;446,185;444,571;452,306;431,328;443,548;444,575;431,251;66,91;1,31
3/10/17 1.00;55,2;16,98;3152,93;558,777;397,002;10,0722;1,74;249,895;253,63;249,258;295,096;306,4;249,456;253,345;445,985;461,341;461,64;442,067;441,73;461,77;449,679;66,91;1,31
3/10/17 1.00;55,2;16,98;3147,27;556,03;394,307;10,073;1,74;250,137;251,104;248,774;295,096;306,4;248,577;250,884;446,686;478,385;459,103;455,074;439,798;457,738;455,915;66,91;1,31
3/10/17 1.00;55,2;16,98;3142,58;565,857;393,105;10,0738;1,74;249,653;252,202;248,203;295,096;306,4;248,511;248,137;445,685;478,779;460,665;457,225;453,236;449,898;455,75;66,91;1,31
3/10/17 1.00;55,2;16,98;3148,05;561,951;396,533;10,0746;1,74;249,236;250,818;250,225;295,096;306,4;250,203;246,797;456,495;438,06;466,332;458,005;455,493;448,05;452,663;66,91;1,31
3/10/17 1.00;55,2;16,98;3150,39;558,472;397,852;10,0755;1,74;249,17;249,829;251,147;295,096;306,4;250,928;246,533;461,45;421,41;467,79;458,59;453,84;448,05;451,34;66,91;1,31
3/10/17 1.00;55,2;16,98;3280,27;564,026;393,545;10,0763;1,74;249,016;249,829;251,147;295,096;306,4;249,543;251,147;457,947;425,372;453,818;453,942;459,629;443,738;460,608;66,91;1,31
3/10/17 1.00;55,2;16,98;3411,13;567,261;394,16;10,0771;1,74;249,258;250,137;251,609;295,096;306,4;248,643;249,587;448,037;428,26;447,074;458,516;472,134;461,49;467,667;66,91;1,31
3/10/17 1.00;55,2;16,98;3447,46;561,646;392,549;10,0779;1,74;249,39;251,191;250,269;295,096;306,4;249,434;250,225;433,923;418,459;431,266;465,705;481,442;479,298;471,307;66,91;1,31
3/10/17 1.00;55,2;16,98;3562,7;560,364;394,688;10,0788;1,74;250,005;252,202;249,456;295,096;306,4;250,598;248,84;434,674;416,42;435,956;459,922;484,36;457,85;473,847;66,91;1,31
3/10/17 1.00;55,2;16,98;3707,03;563,049;396,504;10,0796;1,74;250,115;249,39;249,697;295,096;306,4;251,082;250,774;446,736;398,407;444,212;444,88;471,964;439,874;470,261;66,91;1,31
3/10/17 1.00;55,2;16,98;3784,96;557,983;394,834;10,0804;1,74;250,049;246,533;249,829;295,096;306,4;250,378;248,643;451,991;426,335;443,024;429,998;452,629;440,77;463,421;66,91;1,31
3/10/17 1.00;55,2;16,98;3798,05;563,11;396,709;10,0812;1,74;250,203;248,181;250,291;295,096;306,4;250,203;249,807;447,537;428,318;445,292;425,78;433,191;453,034;451,617;66,91;1,31
3/10/17 1.00;55,2;16,98;3866,6;564,27;398,262;10,0821;1,74;250,269;247,939;249,719;295,096;306,4;250,422;251,543;452,441;443,155;444,104;418,668;409,287;453,65;437,82;66,91;1,31
3/10/17 1.00;55,2;16,98;3907,42;568,054;394,951;10,0829;1,74;250,115;249,258;249,697;295,096;306,4;250,642;248,884;439,679;451,199;446,372;420,548;403,83;438,25;413,212;66,91;1,31
3/10/17 1.00;55,2;16,98;3705,66;560,669;396,123;10,0837;1,74;250,356;251,433;249,521;295,096;306,4;250,4;249,324;441,681;446,1;444,428;421,288;397,113;431,586;405,595;66,91;1,31
3/10/17 1.00;55,2;16,98;3554,3;572,449;395,01;10,0845;1,74;250,488;247,104;249,236;295,096;306,4;250,115;249,28;447,186;468,245;451,657;449,687;399,592;437,13;399,916;66,91;1,31
3/10/17 1.00;55,2;16,98;3523,24;563,416;394,453;10,0854;1,74;250,181;247,456;249,324;295,096;306,4;249,434;248,181;453,542;500,023;454,624;458,008;414,796;460,818;403,059;66,91;1,31
3/10/17 1.00;55,2;16,98;3514,65;565,613;400,986;10,0862;1,74;249,28;252,971;251,697;295,096;306,4;249,324;251,543;450,69;492,148;458,458;458,714;419,473;463,618;415,585;66,91;1,31
3/10/17 1.00;55,2;16,98;3492,58;569,031;408,018;10,0875;1,74;248,95;252,883;250,686;295,096;306,4;250,159;248,972;451,24;504,664;456,838;456,76;428,394;458,186;434,562;66,91;1,31
3/10/17 1.00;55,2;16,98;3508,98;568,848;398,994;10,089;1,74;249,412;252,949;249,214;295,096;306,4;249,873;251,191;449,989;484,614;458,782;485,549;442,769;451,13;440,08;66,91;1,31
3/10/17 1.00;55,2;16,98;3537,3;557,312;400,488;10,0906;1,74;249,609;253,191;249,258;295,096;306,4;249,456;249,983;438,077;440,264;464,013;474,647;461,111;456,45;455,199;66,91;1,31
3/10/17 1.00;55,2;16,98;3555,86;562,195;404,766;10,0921;1,74;249,763;247,896;249,851;295,096;306,4;250,005;249,807;443,933;433,241;461,479;476,21;468,607;466,082;474,567;66,91;1,31
3/10/17 1.00;55,2;16,98;3570,12;571,533;401,572;10,0936;1,74;250,291;251,653;251,279;295,096;306,4;252,114;250,115;448,438;425,826;461,59;485,898;482,759;466,418;479,645;66,91;1,31
3/10/17 1.00;55,2;16,98;3579,69;571,167;394,57;10,0951;1,74;254,487;257,607;255,498;295,096;306,4;254,597;253,586;436,876;436,474;460,132;456,719;485,845;452,474;480,25;66,91;1,31
3/10/17 1.00;55,2;16,98;3565,63;562,805;393,516;10,0967;1,74;258,662;259,211;256,465;295,096;306,4;256,245;253,564;438,578;431,037;439,896;449,646;478,908;439,874;477,493;66,91;1,31
3/10/17 1.00;55,2;16,98;3550,39;566,101;396,504;10,0982;1,74;259,255;254,817;254,202;295,096;306,4;257,256;252,905;444,233;436,643;415,022;444,136;455,99;441,946;468,442;66,91;1,31
3/10/17 1.00;55,2;16,98;3546,88;568,848;397,559;10,0997;1,74;259,058;252,905;253,345;295,096;306,4;257,52;252,905;445,435;441,23;407,9;440,62;447,23;444,13;465,13;66,91;1,31
3/10/17 1.00;55,2;16,98;3613,87;567,139;398,994;10,1013;1,74;257,981;251,829;251,96;295,096;306,4;257,52;252,444;464,003;463,434;413,941;437,89;432,579;446,874;452,383;66,91;1,31
3/10/17 1.00;55,2;16,98;3680,86;561,707;399,199;10,1028;1,74;257,212;252,29;251,06;295,096;306,4;257,212;252,554;467,756;498,325;428,619;429,608;412,041;451,186;434,565;66,91;1,31
3/10/17 1.00;55,2;16,98;3719,14;563,11;402,715;10,1043;1,74;256,465;252,378;250,313;295,096;306,4;256,772;252,224;467,706;502,06;442,487;425,741;398,986;448,61;423,089;66,91;1,31
3/10/17 1.00;55,2;16,98;3725,78;570,129;403,887;10,1059;1,74;256,816;252,4;250,203;295,096;306,4;256,333;251,873;468,457;495,437;458,67;428,4;385,216;445,754;432,025;66,91;1,31
3/10/17 1.00;55,2;16,98;3734,18;569,946;400,02;10,1074;1,74;256,311;247,544;250,576;295,096;306,4;256,509;251,191;465,304;284,561;456,457;437,068;394,471;442,506;422,318;66,91;1,31
3/10/17 1.00;55,2;16,98;3747,85;567,139;403,359;10,1089;1,74;254,751;245,588;250,554;295,096;306,4;256,487;250,466;458,698;328,8555;461,151;459,648;413,524;439,37;417,185;66,91;1,31
3/10/17 1.00;55,2;16,98;3766,99;579,224;406,084;10,1104;1,74;254,531;248,884;250,488;295,096;306,4;255,959;250,269;452,942;373,15;482,68;472,891;425,699;455,778;423,476;66,91;1,31
3/10/17 1.00;55,2;16,98;3804,88;598,389;403,477;10,112;1,74;254,355;250,884;250,334;295,096;306,4;255,762;250,422;457,396;486,826;490,828;444,921;415,399;471,01;438,315;66,91;1,31
3/10/17 1.00;55,2;16,98;3816,99;600,83;402,861;10,1135;1,74;254,07;251,763;249,346;295,096;306,4;255,916;250,796;452,241;508,292;474,75;432,849;412,097;470,45;480,689;66,91;1,31
3/10/17 1.00;55,2;16,98;3812,3;599,365;403,516;10,115;1,74;254,736;247,339;248,95;295,096;306,4;254,956;250,195;461,617;513,163;462,757;455,08;419,33;462,05;480,393;66,91;1,31
3/10/17 1.00;55,2;16,98;3818,75;595,001;403,14;10,1166;1,74;254,817;248,28;249,95;295,096;306,4;254,586;250,115;462,751;515,94;458,485;466,273;434,26;438,299;458,319;66,91;1,31
3/10/17 1.00;55,2;16,98;3820,9;589,874;394,834;10,1181;1,74;254,092;246,193;250,917;295,096;306,4;254,663;250,411;465,154;507,926;450,526;463,868;449,935;434,607;455,093;66,91;1,31
3/10/17 1.00;55,2;16,98;3802,54;594,33;397,002;10,1196;1,74;253,641;246,687;251,005;295,096;306,4;253,806;250,774;462,751;499,284;448,856;477,99;472,845;450,542;447,725;66,91;1,31
3/10/17 1.00;55,2;16,98;3788,09;598,724;395,156;10,1211;1,74;253,422;251,071;251,213;295,096;306,4;254,059;250,214;440,104;317,64;442,275;493,181;494,655;469,386;451,837;66,91;1,31
3/10/17 1.00;55,2;16,98;3774,22;598,969;391,904;10,1227;1,74022;252,916;251,115;250,939;295,096;306,4;255,157;249,829;446,986;340,792;430,405;496,617;522,335;490,246;477,66;66,91;1,31
3/10/17 1.00;55,2;16,98;1130,86;595,581;398,364;10,1242;1,74057;252,971;249,983;251,136;295,096;306,4;253,685;250,4;463,928;363,944;435,012;475,154;524,045;492,794;518,624;66,91;1,31
3/10/17 1.00;55,2;16,98;1084,31;597,046;403,667;10,1257;1,74091;252,554;250,258;249,225;295,096;306,4;253,114;249,851;460,474;500,759;432,014;428,375;505,236;503,518;551,869;66,91;1,31
3/10/17 1.00;55,2;16,98;1037,76;597,168;398,687;10,1273;1,74126;252,532;249,346;247,786;295,096;306,4;254,344;249,818;451,24;514,13;432,423;398,964;489,674;506,402;535,315;66,91;1,31
3/10/17 1.00;55,2;16,98;2588,77;597,9;394,556;10,1288;1,7416;252,971;248,302;247,917;295,096;306,4;252,883;250,62;443,232;509,595;431,37;412,658;470,205;476,022;487,337;66,91;1,31
3/10/17 1.00;55,2;16,98;3026,46;598,755;397,471;10,1303;1,74195;252,839;248,785;250,356;295,096;306,4;252,092;250,642;455,72;507,811;444,56;442,855;473,921;431,803;439,941;66,91;1,31
3/10/17 1.00;55,2;16,98;2962,89;598,755;399,316;10,1307;1,74229;252,686;249,17;251,587;295,096;306,4;252,246;250,488;463,953;509,2;452,68;453,52;480,28;416,12;424,3;66,91;1,31
3/10/17 1.00;55,2;16,98;2926,07;607,086;395,508;10,1305;1,74264;253,257;250,884;251,73;295,096;306,4;251,96;250,203;459,073;506,99;458,998;454,788;483,147;421,58;401,706;66,91;1,31
3/10/17 1.00;55,2;16,98;2940,53;600,861;396,694;10,1302;1,74298;252,993;250,95;251,949;295,096;306,4;251,521;249,906;461,325;261,341;455,731;461,307;483,975;445,638;395,28;66,91;1,31
3/10/17 1.00;55,2;16,98;2951,37;593,506;398,818;10,13;1,74333;252,114;255,344;250,455;295,096;306,4;250,653;249,972;463,953;314,7245;457,756;461,148;492,54;482,854;418,455;66,91;1,31
3/10/17 1.00;55,2;16,98;2975,2;598,602;398,452;10,1298;1,74367;252,092;251,104;249,467;295,096;306,4;249,697;250,334;454,193;368,108;468,145;450,738;480,531;499,318;452,579;66,91;1,31
3/10/17 1.00;55,2;16,98;3053,71;599,823;399,097;10,1295;1,74402;252,532;249,412;248,818;295,096;306,4;248,104;249,774;441,456;509,625;460,182;423,496;463,592;495,594;478,403;66,91;1,31
3/10/17 1.00;55,2;16,98;3094,24;596,375;397,896;10,1293;1,74436;252,114;249,489;248,225;295,096;306,4;254,553;249,39;440,029;524,378;460,773;423,264;447,176;472,102;479,453;66,91;1,31
3/10/17 1.00;55,2;16,98;3087,5;593,506;397,925;10,1291;1,74471;251,521;248,807;248,357;295,096;306,4;254,685;249,818;453,467;528,51;459,642;437,055;441,341;443,458;450,703;66,91;1,31
